Transect,PlotC,PlotR,PlotCGraph,PlotR1,Depth,Depth Segment,Sample ID1,Sample ID2,Bag Wt,WetWtWBag,WetWt,DryWtWBag,DryWt,Seg.Vol.cm3,Core.Area.cm2,Moisture.perc,BD.g.cm3,Crucible.ID,Crucible.Wt,PreWt,Post.Wt wC,PostWt,OM.perc,Tcperc,TOCperc,TICperc,TOC.g.cm3,TC.seg,TOC.seg,TCkg.seg,TOCkg.seg,TCkg/m2,TOC/kg/m2,Sample ID1
CJ1,-8,-8,-8,-8,0-15,A,CJ1.-8,CJ1.-8.A,2.75,202.45,199.7,145.1,142.35,277.5,18.5,28.71807712,1.538918919,C71,13.606,1.997,15.551,1.945,2.603905859,0.606,0.367,0.239,0.564783243,2.587923,1.5672735,0.002587923,0.001567274,1.398877192,0.847174801,CJ1.-8
CJ1,-8,-8,-8,-8,15-30,B,CJ1.-8,CJ1.-8.B,2.71,231.86,229.15,165.09,162.38,277.5,18.5,29.13811914,1.755459459,C16,14.002,1.999,15.935,1.933,3.301650825,0.781,0.717,0.064,1.258664432,3.8045634,3.4927938,0.003804563,0.003492794,2.056520603,1.887996507,CJ1.-8
CJ1,-8,-8,-8,-8,30-50,C,CJ1.-8,CJ1.-8.C,2.74,210.76,208.02,147.97,145.23,370,18.5,30.18459763,1.570054054,,,,,,,3.131,2.105,1.026,3.304963784,18.1886052,12.228366,0.018188605,0.012228366,9.831677749,6.609927072,CJ1.-8
CJ1,-8,-8,-8,-8,50-100,D,CJ1.-8,CJ1.-8.D,2.72,152.67,149.95,88.1,85.38,925,18.5,43.06102034,0.923027027,,,,,,,2.403,2.359,0.044,2.177420757,20.516814,20.141142,0.020516814,0.020141142,11.0901689,10.88710297,CJ1.-8
CJ1,-4,-4,-4,-4,0-15,A,CJ1.-4,CJ1.-4.A,2.67,209.41,206.74,155.03,152.36,277.5,18.5,26.3035697,1.647135135,C17,15.528,1.998,17.487,1.959,1.951951952,0.672,0.282,0.39,0.464492108,3.0715776,1.2889656,0.003071578,0.001288966,1.660312092,0.69673811,CJ1.-4
CJ1,-4,-4,-4,-4,15-30,B,CJ1.-4,CJ1.-4.B,2.68,215.89,213.21,159.1,156.42,277.5,18.5,26.63571127,1.691027027,C12,14.879,2.004,16.845,1.966,1.896207585,1.063,0.514,0.549,0.869187892,4.9882338,2.4119964,0.004988234,0.002411996,2.696342392,1.30378174,CJ1.-4
CJ1,-4,-4,-4,-4,30-50,C,CJ1.-4,CJ1.-4.C,2.7,237.56,234.86,162.27,159.57,370,18.5,32.0573959,1.725081081,,,,,,,1.557,0.409,1.148,0.705558162,9.9380196,2.6105652,0.00993802,0.002610565,5.371902084,1.411116218,CJ1.-4
CJ1,-4,-4,-4,-4,50-100,D,CJ1.-4,CJ1.-4.D,2.77,148.9,146.13,80.77,78,925,18.5,46.62287005,0.843243243,,,,,,,2.636,2.31,0.326,1.947891891,20.5608,18.018,0.0205608,0.018018,11.11394511,9.739458729,CJ1.-4
CJ1,-2,-2,-2,-2,0-15,A,CJ1.-2,CJ1.-2.A,2.71,195.95,193.24,141.64,138.93,277.5,18.5,28.10494722,1.501945946,C27,14.323,1.999,16.273,1.95,2.451225613,0.415,0.566,-0.151,0.850101405,1.7296785,2.3590314,0.001729679,0.002359031,0.934961281,1.275152012,CJ1.-2
CJ1,-2,-2,-2,-2,15-30,B,CJ1.-2,CJ1.-2.B,2.8,225.65,222.85,163.86,161.06,277.5,18.5,27.72717074,1.741189189,C139,14.874,2.001,16.83,1.956,2.248875562,0.403,0.224,0.179,0.390026378,1.9472154,1.0823232,0.001947215,0.001082323,1.052548786,0.585039524,CJ1.-2
CJ1,-2,-2,-2,-2,30-50,C,CJ1.-2,CJ1.-2.C,2.71,209.37,206.66,140.01,137.3,370,18.5,33.56237298,1.484324324,,,,,,,2.145,0.255,1.89,0.378502703,11.78034,1.40046,0.01178034,0.00140046,6.367750874,0.757005349,CJ1.-2
CJ1,-2,-2,-2,-2,50-100,D,CJ1.-2,CJ1.-2.D,2.81,131.12,128.31,72.8,69.99,925,18.5,45.45241992,0.756648649,,,,,,,3.046,2.52,0.526,1.906754595,21.318954,17.63748,0.021318954,0.01763748,11.52375805,9.533772258,CJ1.-2
CJ1,-1,-1,-1,-1,0-15,A,CJ1.-1,CJ1.-1.A,2.79,,,,,277.5,18.5,,,C60,15.751,2.003,17.679,1.928,3.744383425,0.724,0.541,0.183,0,,,,,,,CJ1.-1
CJ1,-1,-1,-1,-1,15-30,B,CJ1.-1,CJ1.-1.B,2.71,216.57,213.86,132.39,129.68,277.5,18.5,39.36219957,1.401945946,C14,14.434,1.997,16.369,1.935,3.104656985,1.01,0.652,0.358,0.914068757,3.929304,2.5365408,0.003929304,0.002536541,2.123947949,1.371103032,CJ1.-1
CJ1,-1,-1,-1,-1,30-50,C,CJ1.-1,CJ1.-1.C,2.71,199.67,196.96,132.87,130.16,370,18.5,33.91551584,1.407135135,,,,,,,1.813,0.28,1.533,0.393997838,9.4392032,1.457792,0.009439203,0.001457792,5.102271617,0.787995617,CJ1.-1
CJ1,-1,-1,-1,-1,50-100,D,CJ1.-1,CJ1.-1.D,2.81,153.32,150.51,85.5,82.69,925,18.5,45.0601289,0.893945946,,,,,,,3.425,2.794,0.631,2.497684973,28.321325,23.103586,0.028321325,0.023103586,15.30882318,12.48842393,CJ1.-1
CJ1,0,0,0,0,0-15,A,CJ1.0,CJ1.0.A,2.85,191.19,188.34,132.09,129.24,277.5,18.5,31.3794202,1.397189189,C9,15.645,2,17.553,1.908,4.6,0.728,0.616,0.112,0.86066854,2.8226016,2.3883552,0.002822602,0.002388355,1.52573048,1.291002714,CJ1.0
CJ1,0,0,0,0,15-30,B,CJ1.0,CJ1.0.B,2.86,209.84,206.98,150.87,148.01,277.5,18.5,28.49067543,1.600108108,C70,15.299,2.002,17.226,1.927,3.746253746,0.541,0.435,0.106,0.696047027,2.4022023,1.9315305,0.002402202,0.001931531,1.298487632,1.044070462,CJ1.0
CJ1,0,0,0,0,30-50,C,CJ1.0,CJ1.0.C,2.74,176.13,173.39,119.12,116.38,370,18.5,32.8796355,1.258162162,,,,,,,2.979,1.543,1.436,1.941344216,13.8678408,7.1829736,0.013867841,0.007182974,7.4961296,3.882688141,CJ1.0
CJ1,0,0,0,0,50-100,D,CJ1.0,CJ1.0.D,2.81,163.87,161.06,91.28,88.47,925,18.5,45.07016019,0.956432432,,,,,,,3.42,2.268,1.152,2.169188756,30.25674,20.064996,0.03025674,0.020064996,16.35499337,10.84594297,CJ1.0
CJ1,1,1,1,1,0-15,A,CJ1.1,CJ1.1.A,2.65,192.85,190.2,138.85,136.2,277.5,18.5,28.39116719,1.472432432,C61,14.813,2.001,16.755,1.942,2.948525737,2.32,0.401,1.919,0.590445405,9.47952,1.638486,0.00947952,0.001638486,5.124064481,0.885668042,CJ1.1
CJ1,1,1,1,1,15-30,B,CJ1.1,CJ1.1.B,2.75,213.48,210.73,153.12,150.37,277.5,18.5,28.64328762,1.625621622,C56,15.594,2.003,17.547,1.953,2.496255617,0.664,0.271,0.393,0.44054346,2.9953704,1.2225081,0.00299537,0.001222508,1.619119014,0.66081514,CJ1.1
CJ1,1,1,1,1,30-50,C,CJ1.1,CJ1.1.C,2.74,220.16,217.42,135.89,133.15,370,18.5,38.7590838,1.439459459,,,,,,,1.964,1.621,0.343,2.333363783,10.460264,8.633446,0.010460264,0.008633446,5.654196333,4.666727218,CJ1.1
CJ1,1,1,1,1,50-100,D,CJ1.1,CJ1.1.D,2.77,136.78,134.01,75.73,72.96,925,18.5,45.55630177,0.788756757,,,,,,,2.035,0.561,1.474,0.442492541,14.84736,4.093056,0.01484736,0.004093056,8.025599398,2.212462537,CJ1.1
CJ1,2,2,2,2,0-15,A,CJ1.2,CJ1.2.A,2.73,190.53,187.8,136.78,134.05,277.5,18.5,28.62087327,1.449189189,C51,15.526,2,17.477,1.951,2.45,30.374,0.402,29.972,0.582574054,122.149041,1.616643,0.122149041,0.001616643,66.0265037,0.873861016,CJ1.2
CJ1,2,2,2,2,15-30,B,CJ1.2,CJ1.2.B,2.81,230.91,228.1,167.9,165.09,277.5,18.5,27.62384919,1.784756757,C52,16.102,1.996,18.051,1.949,2.354709419,0.428,0.384,0.044,0.685346595,2.1197556,1.9018368,0.002119756,0.001901837,1.145813752,1.028019815,CJ1.2
CJ1,2,2,2,2,30-50,C,CJ1.2,CJ1.2.C,2.79,215.6,212.81,131.45,128.66,370,18.5,39.54231474,1.390918919,,,,,,,2.362,1.887,0.475,2.624664,12.1557968,9.7112568,0.012155797,0.009711257,6.57070048,5.249327606,CJ1.2
CJ1,2,2,2,2,50-100,D,CJ1.2,CJ1.2.D,2.76,157.89,155.13,88.42,85.66,925,18.5,44.78179591,0.926054054,,,,,,,2.443,2.214,0.229,2.050283676,20.926738,18.965124,0.020926738,0.018965124,11.31174942,10.25141761,CJ1.2
CJ1,4,4,4,4,0-15,A,CJ1.4,CJ1.4.A,2.78,183.73,180.95,131.32,128.54,277.5,18.5,28.96380216,1.389621622,C58,14.247,1.996,16.167,1.92,3.80761523,,,,0,,,,,,,CJ1.4
CJ1,4,4,4,4,15-30,B,CJ1.4,CJ1.4.B,2.78,214.63,211.85,150.1,147.32,277.5,18.5,30.4602313,1.592648649,C10,12.997,1.999,14.924,1.927,3.6018009,2.109,0.539,1.57,0.858437622,9.3209364,2.3821644,0.009320936,0.002382164,5.038343622,1.287656336,CJ1.4
CJ1,4,4,4,4,30-50,C,CJ1.4,CJ1.4.C,2.79,226.81,224.02,145.6,142.81,370,18.5,36.25122757,1.543891892,,,,,,,1.653,0.714,0.939,1.102338811,9.4425972,4.0786536,0.009442597,0.004078654,5.104106212,2.204677456,CJ1.4
CJ1,4,4,4,4,50-100,D,CJ1.4,CJ1.4.D,2.72,154.9,152.18,88.06,85.34,925,18.5,43.9216717,0.922594595,,,,,,,0.609,2.439,-1.83,2.250208217,5.197206,20.814426,0.005197206,0.020814426,2.80930033,11.25104024,CJ1.4
